Z3700_Compressor_Screw_CapacityControl(ZI-Z37050/AI1.PV),Z3700_Compressor_Screw_CaseVibrationNDEMaleRotor(VI-V37050/AI1.PV),Z3700_Compressor_Screw_DischargePressure(PI-P37051/AI1.PV),Z3700_Compressor_Screw_DischargeTemperature(TI-T37051/AI1.PV),Z3700_Compressor_Screw_SuctionPressure(PI-P37050/AI1.PV),Z3700_Compressor_Screw_SuctionTemperature(TI-T37050/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureCold(TI-T37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureWarm(TI-T37131/AI1.PV),Z3700_CoolingSystemCollection_CoolingMassFlow(FI-F37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingPressure(PI-P37130/AI1.PV),Z3700_HeatExchanger_InletTemperatureHot(TI-T37054/AI1.PV),Z3700_HeatExchanger_OutletTemperatureHot(TI-T37053/AI1.PV),Z3700_Motor_Current(II-37062/AI1.PV),Z3700_Motor_RadialBearingDETemperature1(TI-T37059/AI1.PV),Z3700_Motor_RadialBearingNDETemperature1(TI-T37060/AI1.PV),Z3700_Motor_StatorTemperatureA1(TI-T37056/AI1.PV),Z3700_Motor_StatorTemperatureB1(TI-T37057/AI1.PV),Z3700_Motor_StatorTemperatureC1(TI-T37058/AI1.PV),Z3700_OilSystem_OilPressure1(PI-P37054/AI1.PV),Z3700_OilSystem_OilPressure2(PI-P37053/AI1.PV),Z3700_OilSystem_OilTemperature(TI-T37055/AI1.PV),Z3700_Vessel_VesselLevel(LI-L37050-1/AI1.PV),OutsideTemperature
100,0.900000036,13,69.7000046,5.39000034,7.099998,28.4065762,31.71588,1319.90259,4.99980927,17.1,11.500001,22,64.5,45.5,80.9,79.1,72.5,16.5,11.5,51,51.94,25.79374886
100,0.8,13,69.2000046,5.39000034,6.999999,28.4065762,31.5465965,1318.33679,4.99980927,17.1999989,11.500001,22,64.5,45.3,80.9,79.1,72.5,16.5,11.5,51.9000053,51.42,26.11249924
100,1,13,70.2999954,5.6,7.800001,28.4065762,31.5465965,1313.4447,4.99980927,18.5,12.5999985,22,64.5,45.4,80.9,79.1,72.5,16.4,11.5999994,51.3000031,50.0599976,25.5625
100,0.900000036,13,69.00001,5.58,7.300001,28.4065762,31.4941444,1321.18213,4.99980927,17.5000019,11.6999989,22,64.6000061,45.4,80.9,79.1,72.5,16.5,11.5,50.8999939,50.61,25.21875
100,1.1,13,69.1,5.55,7.800001,28.4065762,31.4941444,1322.56189,4.99980927,17.6,12.3000031,22,64.6000061,44.6000023,80.8,79,72.5,16.4,11.5,51.6000023,49.16,25.11250114
100,1,13,69.7000046,5.75999975,8.3,28.1514645,31.4941444,1320.71521,4.99980927,18.8000031,13.499999,22,64.3,44.3,80.5,78.7999954,72.5,16.4,11.5999994,50.8999939,48.32,25.24062347
100,1.1,13.2,67.2999954,5.77999973,8.8,28.1514645,31.5179863,1320.71521,4.99980927,18.5,13.499999,22,64.1,44.3,80.4,78.7999954,72.5,16.5999985,11.5999994,50.3000031,40.8,25.49687576
100,1.19999993,13.0999994,68.6,5.77999973,9.200001,28.1514645,31.55375,1312.15759,4.99980927,19.0999985,13.8000011,22,63.9,44.6000023,80.2,78.6,72.5,16.5999985,11.5999994,50.8999939,29.22,25.5
100,1,13.3,69.6,5.77999973,9.399998,28.1514645,31.6467342,1317.78748,4.99980927,19.4000015,14.2000017,22,63.9,44.4,80.2,78.6,72.5,16.5999985,11.7,50.8000031,19.6999989,25.27187538
100,1.1,13.3,67.49999,5.80999947,9.100002,28.1514645,31.6467342,1320.4917,4.99980927,19.0999985,13.8000011,22,63.9,44.4,80.2,78.6,72.5,16.5999985,11.8,50.5,19.59,25.27187538
100,1.3,13.2,69.2999954,5.80999947,9.399998,28.1514645,31.6467342,1315.91357,4.99980927,19.4000015,14.0999975,22,63.9,44.2,80.2,78.6,72.5,16.5999985,11.7,51.1000023,19.53,25.54374886
100,1.3,13.4000006,69.1,6.03,10.0000019,28.1514645,31.6467342,1323.65686,4.99980927,20.4999981,14.9999981,22,63.9,44.5,80.2,78.6,72.5,16.8,11.9000006,50.6999969,19.42,26.02499962
100,1.19999993,13.3,67.9,5.86,9.399998,28.1514645,31.6777287,1323.79858,4.994564,19.0999985,14.2000017,22,64.1,44.7,80.5,78.7999954,72.5,16.5999985,11.9000006,50.8000031,19.5,26.50625038
100,1.39999986,14,72.2,5.86,10.3999977,29.8728733,32.3071632,1303.8938,4.994564,20.5999966,15.4000044,23,64.3,45.4,80.9,79.4,72.5,17.2,12.4,52.4000053,19.5,27.03124809
100,1.5,14.4,73.3999939,6.22,11.1,30.4832344,34.1978531,1326.93542,4.994564,21.2000065,15.9000034,24,65.2000046,46.2,82.4,80.6,72.5,17.6,13.0999994,52.9999962,19.3900013,27.56874847
100,1.3,14.3000011,73,6.24,11.4000025,30.4164772,34.10248,1315.62817,4.994564,21.4999981,16.1000023,23,67.6,49,84.7,83.1,72.5,17.6,12.7000008,52.1000023,19.3900013,29.41249847
100,1.19999993,14.1,71.8,6.08,10.9000025,29.961092,33.3729134,1320.34949,4.994564,20.9,15.800005,23,68.7,50,85.2999954,83.8,72.5,17.3,12.5,51.5,19.42,30.56874847
100,0.900000036,14,69.7000046,6.13,10.6999989,29.961092,33.3729134,1319.86194,4.994564,20.7,15.4000044,23,69.5,50.9,86,84.6,72.5,17.2,12.5,51.4000053,19.5,31.234375
100,1.1,13.7999992,71.9,6.13,10.6999989,29.3745689,32.9675941,1325.11475,4.994564,20.7,15.4999971,23,70.3,51.8999977,86.9,85.2999954,86,17.2,12.5,51.6000023,19.56,32.24374771
100,0.900000036,13.7999992,71.3,6.13,10.6999989,29.3745689,32.9675941,1317.97058,4.994564,20.7,15.4999971,23,70.9,52.3999977,87.5,86,86.6,17.2,12.5,51.3000031,19.56,32.921875
100,0.900000036,13.7999992,69.4,6.13,10.6999989,29.29589,32.888916,1317.9502,4.994564,20.8000011,15.4999971,23,70.9,52.6000023,88.1,86.7,87.2,17.2,12.5,51.3000031,19.53,34.34687424
100,0.900000036,13.7999992,71.9,6.13,10.6999989,29.29589,32.888916,1322.52148,4.994564,20.8000011,15.4999971,23,70.5,52.3999977,88.5,86.9,87.6,17.2,12.5,51.8,19.53,35.40937424
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,36.47812653
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,36.41562653
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.56562424
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.36249924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.46875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.46875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.46875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.46875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.46875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.46875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.46875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.46875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,25.94687653
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.26250076
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.16249847
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,25.47500229
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,25.72812462
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.265625
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.29374886
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.73124886
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.78437424
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,28.46249962
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,29.11874962
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,29.79375076
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,30.59062386
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,32.61562729
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,33.32187653
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,33.69374847
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,33.796875
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,34.97187424
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,36.30937576
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.40000153
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,37.61249924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,36.8125
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,36.28750229
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,35.33124924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,36.13750076
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,35.28749847
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,35.28749847
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,32.515625
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,31.54999924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,31.109375
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,30.99062347
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,30.61249924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,30.64687538
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,30.64687538
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,30.64687538
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.99687386
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.90937424
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,28.08437729
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,28.00625038
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.25625038
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.46249962
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.67499924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.64687538
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.5
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.69687462
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.51249886
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.58437347
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.99062538
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.71562386
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.86874771
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.63125038
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.70624924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.55000114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,26.66562462
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.08750153
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.58125114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,27.98750114
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,28.66874886
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,29.125
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,29.61249924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,30.453125
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,30.69374847
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,32.265625
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,33.60312653
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,34.06562424
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,34.45624924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,35.15000153
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,35.390625
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,35.8125
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,34.20624924
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,35.5
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,34.37812805
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,34.328125
100,1.1,13.9,70.6,6.13,10.6999989,29.29589,32.888916,1319.39453,4.994564,20.8000011,15.4999971,23,70.3,52.2,88.5,87.1,87.6,17.2,12.5,51.1999969,19.6199989,33.54999924
