TI831061A,TI831061B,TI831060A,TI831060B,XSI831090,XSI831091,XSI831092,LSI831010,LSI831011,LSI831012,PZI831003,PZI831004,PZI831005,TI831001,FI821002,PI821019,TSI821017,TSI821018,TSI821019,PZI831006,PZI831007,PZI831008,TI831002,TI831063A,TI831063B,TI831062A,TI831062B,VSI831091A,VSI831091B,VSI831090A,VSI831090B,SZI831090,TI831064A,TI831064B,VSI831092B,VSI831093A,VSI831093B,TI831065A,TI831065B,PX8310_1_NM1/NUM1.PV,PSI831047,PSI831048,PSI831049,TSI831042,TSI831043,TSI831044,OutsideTemperature,VSI831092A
61,63.8,64.3,61.2,-0.018225014,-0.01532501,0.001399994,315.555,318.5676,318.19,17.3382816,17.359375,17.364687,305.121521,128.531036,49.7280121,417.9375,418.28125,418.309357,4.64905,4.6843,4.6786,184.837967,82.4,83.7000046,87.3,75.9,17.0275,20.0637512,26.51375,20.025,6170.489,83.5,82.3,5.5925,8.36,8.695,86.8,86.3,0,2.1122,2.093825,2.0888,46.1006241,45.89625,46.1143761,27.26562691,5.91
61,63.8,64.3,61.1000023,-0.018225014,-0.01532501,0.001799941,303.18,304.872742,305.145,17.3535938,17.369688,17.3748436,305.4109,128.4048,49.5963554,418.446869,418.893768,418.715637,4.6295,4.67125,4.65415,185.069443,82.4,83.6,87.2000046,75.9,16.741251,19.86125,26.4324989,19.9037514,6168.89551,83.5,82.3,5.63375,8.318749,8.89875,86.7000046,86.3,0,2.110575,2.0922,2.0888,46.079998,45.9168777,46.1143761,27.52812576,5.95125
60.9,63.7,64.3,61.2,-0.017412484,-0.014512479,0.002624989,293.735016,293.460358,294.705017,17.3382816,17.36453,17.364687,305.4109,128.4413,49.67159,418.446869,418.790649,418.715637,4.64255,4.68595,4.6688,185.185181,82.4,83.6,87.3,75.9,16.7825,20.34875,26.51375,20.06625,6170.489,83.5,82.2000046,5.43,8.48125,8.81625,86.7000046,86.3,0,2.1122,2.09545,2.09045,46.079998,45.855,46.0531273,27.20000076,5.7875
60.9,63.7,64.5,61.2,-0.016600013,-0.013700008,0.002212524,282.335,280.254974,281.495,17.3382816,17.369688,17.364687,305.121521,127.8976,49.65278,418.040619,418.4875,418.512482,4.6295,4.6696,4.646,185.185181,82.5,83.7000046,87.4,75.9,17.19,20.18625,26.18875,20.10625,6175.22,83.4,82.2000046,5.47,8.5625,8.89875,86.6,86.2000046,0,2.1114,2.094625,2.087175,46.0593758,45.89625,46.1143761,26.82187653,5.8275
60.9,63.6000023,64.5,61.2,-0.015775025,-0.012875021,0.003849983,270.935,267.3742,266.81,17.34328,17.369688,17.3748436,305.8449,128.477325,49.74682,418.65,419.0969,419.125,4.60835,4.65005,4.63945,185.763885,82.4,83.7000046,87.3,75.8,16.98625,19.82,26.5549984,19.9037514,6172.082,83.5,82.2000046,5.43,8.48125,8.65375,86.7000046,86.3,0,2.1122,2.093825,2.0888,46.1006241,45.8756256,46.07375,26.30625153,5.91
60.9,63.6000023,64.5,61.3,-0.014962494,-0.012462497,0.004662514,263.77002,258.0795,258.005,17.3229675,17.3440628,17.34422,305.2662,128.084778,49.6339722,418.040619,418.384369,418.512482,4.6393,4.65005,4.6411,185.069443,82.4,83.7000046,87.3,75.9,16.7825,19.86125,26.4324989,19.9849987,6178.3584,83.5,82.2000046,5.55250025,8.19625,8.81625,86.7000046,86.3,0,2.1122,2.093,2.0888,46.14125,45.9575,46.135,26.046875,5.99125
60.9,63.6000023,64.6,61.3,-0.014150024,-0.011650026,0.005475044,253.025009,247.810867,247.075012,17.3585949,17.3798428,17.385,304.832184,127.504433,49.6339722,417.8375,418.181244,418.103119,4.65395,4.6941,4.68675,184.490738,82.5,83.7000046,87.4,75.9,16.9037514,20.02375,26.51375,19.94375,6178.3584,83.4,82.2000046,5.51125,8.88875,8.5725,86.6,86.2000046,0,2.1057,2.088925,2.084725,46.1818771,45.9575,46.135,26.16874886,5.86875
60.9,63.6000023,64.7000046,61.4,-0.013337493,-0.011250019,0.005475044,239.995,233.3019,233.209991,17.3229675,17.3492184,17.3543758,305.2662,127.888527,49.67159,417.8375,418.28125,418.309357,4.6295,4.6745,4.65415,185.185181,82.4,83.7000046,87.4,75.9,16.741251,20.34875,26.51375,19.9849987,6183.042,83.5,82.2000046,5.55250025,8.8075,8.6125,86.6,86.2000046,0,2.1057,2.088925,2.08555,46.1818771,45.9575,46.1756248,26.31562424,5.91
60.9,63.6000023,64.6,61.3,-0.014150024,-0.011650026,0.005475044,230.55,221.395081,221.959991,17.3331261,17.359375,17.3595314,305.555542,128.1017,49.48351,418.7531,419.2,419.125,4.6295,4.67285,4.65905,185.300919,82.4,83.6,87.2000046,75.9,16.61875,20.43,26.2699986,19.94375,6172.082,83.5,82.3,5.43,8.48125,8.735001,86.6,86.2000046,0,2.113825,2.09545,2.09045,46.1206245,45.9575,46.1556244,26.43125153,5.7875
61.1000023,63.8,64.8,61.5,-0.013337493,-0.011250019,0.005475044,217.525009,208.519318,208.095,17.3331261,17.359375,17.3543758,305.555542,128.9228,49.67159,418.143738,418.6906,418.512482,4.60345,4.61745,4.60525,185.879623,82.5,83.8,87.3,76.1,17.10875,20.5925,26.4324989,20.31,6172.082,83.6,82.4,5.47,8.5625,8.5725,86.7000046,86.3,0,2.1122,2.09545,2.0888,46.3649979,46.16125,46.31875,26.32187653,5.74624968
