slide valve %,vibration motor mm/s,discharge pressure bara,discharge temperature degC,suction pressure bara,suction temperature degC,cooling water temperature degC,cooling water return temperature degC,cooling water flow m3/h,cooling water header pressure barg,chilled water return temperature degC,chilled water supply temperature degC,motor current,motor bearing DE temperature degC,motor bearing NDE temperature degC,Motor Stator Temperature degC,Motor Stator Temperature degC_2,Motor Stator Temperature degC_3,Oil Pressure bara,Oil Pressure bara_2,Oil Temperature degC,OutsideTemperature
98.9672,0.8083,12.8776,67.9899,5.2842,7.4568,28.4708,31.241,1324.5484,4.9776,20.893,15.9656,22.3044,62.1974,45.7938,78.6925,77.216,77.7873,16.2931,11.5272,52.7327,28.7225
96.9395,0.7985,12.8654,73.5245,5.1902,6.1482,28.5045,31.7391,1327.5632,4.9784,20.426,14.8617,20.0494,62.4991,45.0175,78.5974,77.2427,77.8833,16.0888,11.2562,53.1035,28.5511
99.5661,0.8937,13.0104,70.89,5.2835,7.1279,28.5267,31.5038,1323.5043,4.9794,20.8657,15.1349,21.9262,62.4012,44.755,78.9552,76.7891,77.9946,16.302,11.5304,52.5125,27.6756
98.6891,0.8045,12.7146,68.1988,5.5095,7.4366,28.5488,31.693,1328.0583,4.9778,20.8782,16.1177,22.6623,62.3209,44.3301,78.5813,77.2001,77.8943,16.3302,11.4718,52.8953,27.7117
94.6691,0.8925,12.5889,72.9205,5.5728,6.9741,28.4852,31.6043,1323.8858,4.978,21.2931,16.4238,17.6343,62.2801,44.448,78.6537,76.921,77.6309,15.9758,11.0947,52.6536,27.9939
93.8272,0.9002,12.5503,71.567,5.5899,6.8615,28.4803,31.617,1327.0518,4.9786,21.4283,16.1763,17.9934,62.084,44.1388,78.3441,77.286,77.9729,15.8714,11.0915,52.5341,27.6735
94.5824,0.9999,12.5895,68.1731,5.5165,7.4998,28.4479,31.6136,1315.8081,4.9937,21.5881,16.5827,17.6128,61.6329,43.9109,78.3737,77.098,77.7532,15.9032,11.1117,53.4336,27.1603
96.8916,0.9091,12.9075,72.3616,5.2898,6.392,28.4242,31.422,1325.9473,4.9938,21.3475,15.6805,19.8876,61.3531,43.534,78.2837,76.603,77.344,16.301,11.1683,52.9134,26.4556
95.5092,0.804,12.4716,69.9517,5.5386,7.4787,28.4529,31.2148,1325.9375,4.9939,21.8954,16.742,18.2234,61.5899,43.2673,77.6883,76.4757,76.7503,15.9034,11.0092,52.5087,26.9724
98.6784,0.8998,12.9035,67.6459,5.2944,6.5328,28.4814,31.0169,1319.9712,4.9939,23.1282,15.9079,21.6566,61.1017,42.9948,77.3415,76.4297,76.6274,16.3048,11.4401,52.4248,27.4476
