ZI-Z37050/AI1.PV,VI-V37050/AI1.PV,PI-P37051/AI1.PV,TI-T37051/AI1.PV,PI-P37050/AI1.PV,TI-T37050/AI1.PV,TI-T37130/AI1.PV,TI-T37131/AI1.PV,FI-F37130/AI1.PV,PI-P37130/AI1.PV,TI-T37054/AI1.PV,TI-T37053/AI1.PV,II-37062/AI1.PV,TI-T37059/AI1.PV,TI-T37060/AI1.PV,TI-T37056/AI1.PV,TI-T37057/AI1.PV,TI-T37058/AI1.PV,PI-P37054/AI1.PV,PI-P37053/AI1.PV,TI-T37055/AI1.PV,OutsideTemperature
100.0,0.7985,12.9919,70.8561,5.2958,6.713,28.5778,31.2321,1321.0758,4.9776,15.5583,10.9062,21.9488,64.2067,47.5967,83.4027,84.0434,87.4946,16.3,11.5244,51.0372,28.7832
98.791,0.7945,12.9199,68.239,5.2722,7.4367,28.5155,31.3027,1325.084,4.9792,15.433,11.4159,23.2685,63.7432,47.0466,83.4487,84.5981,87.5108,16.3224,11.544,51.4814,28.7491
95.0539,0.7941,12.8948,73.6954,5.198,6.0236,28.4634,31.6995,1327.2579,4.9779,14.9382,10.1723,19.9392,64.5794,46.4613,84.3965,84.4231,88.4011,16.0779,11.3002,51.9015,28.5251
100.0,0.8856,13.0202,70.69,5.2632,7.0431,28.4277,31.4727,1323.3824,4.9792,15.0657,10.9296,22.1166,64.4659,46.7309,83.6759,84.66,88.0848,16.3148,11.4793,51.3838,28.4183
98.7579,0.7981,12.6899,67.8771,5.4765,7.3888,28.5132,31.7567,1327.4569,4.9779,15.233,11.3423,23.0817,64.5887,46.2674,84.7214,85.2903,88.7309,16.3154,11.5006,51.9963,27.6754
85.8216,0.8858,12.5623,72.7883,5.5832,7.0058,28.5122,31.7034,1323.3933,4.9786,15.1725,11.2284,18.0638,64.7654,46.5692,84.4438,84.7087,89.0708,16.0153,11.1196,51.5136,28.168
85.3827,0.8961,12.5906,71.5492,5.5638,6.8526,28.4521,31.5999,1326.0976,4.9778,15.0262,11.2696,18.3078,64.7291,46.7511,84.6796,85.6775,89.5413,15.8843,11.0878,51.1159,27.4791
87.0323,0.9949,12.6066,68.5667,5.5161,7.487,28.3828,31.6414,1315.3894,4.9939,14.9627,11.4519,17.875,63.8915,45.6699,84.6931,85.6678,89.78,15.867,11.0974,51.823,27.1703
90.858,0.9088,12.905,72.5655,5.2989,6.4336,28.4835,31.4671,1325.6866,4.9934,15.1222,10.5173,20.1995,63.8717,45.4175,85.4254,85.3433,89.6419,16.3109,11.2068,51.3327,26.9966
85.3537,0.7915,12.4759,69.6925,5.5187,7.5401,28.4548,31.3245,1325.8325,4.9934,15.0527,11.3815,18.4068,63.7156,45.4356,84.9257,85.4271,90.137,15.9037,11.0238,51.0579,26.6036
99.6234,0.8937,12.8933,67.4965,5.3014,6.5589,28.4799,31.016,1320.0363,4.9939,15.4709,10.707,22.9014,63.7742,45.5362,84.9871,85.185,89.9065,16.3196,11.4154,51.0009,27.0763
100.0,0.9968,12.9515,71.2251,5.2519,6.6898,28.1451,30.8607,1322.2494,4.9934,15.4255,10.8374,23.0372,63.3398,44.8774,85.1693,85.6308,89.9467,16.1863,11.4162,50.9644,27.2608
85.902,0.8952,12.3763,69.3651,5.5575,7.5381,28.05,31.1966,1323.6017,4.9929,15.2386,11.184,17.5812,63.2781,45.1837,85.0574,85.9041,90.3476,15.8148,10.9916,50.7301,27.0159
100.0,0.9114,12.8127,67.8964,5.2453,6.6898,28.0267,30.9073,1328.6312,4.994,15.4117,10.9908,23.6515,63.2762,45.58,84.9788,86.0566,91.6165,16.2206,11.308,51.4015,27.4774
100.0,0.9905,12.8598,71.1388,5.2488,6.5404,27.9963,30.9024,1320.6505,4.993,15.4897,10.8067,22.937,63.3901,45.0918,85.5005,86.653,91.0736,16.2981,11.3857,51.0132,26.552
100.0,0.7968,12.8166,69.1995,5.2508,6.522,28.0364,30.909,1319.2636,4.9939,15.524,10.6684,22.6607,63.9157,45.1213,85.5732,87.1002,92.1812,16.2081,11.3168,50.5655,26.2342
100.0,0.8028,12.8829,68.7139,5.2506,6.5238,28.0256,30.8506,1317.8982,4.9941,15.4925,10.4815,23.8391,63.7602,44.79,85.5739,86.786,91.3276,16.3074,11.4228,51.3045,26.1513
93.4732,0.8073,12.7077,71.8041,5.3056,6.3083,28.0205,30.8025,1313.9474,4.9934,15.2192,10.6006,19.7891,63.3297,44.9185,85.8258,87.2405,92.2916,15.984,11.211,51.0073,26.2241
99.0718,0.8968,12.6752,69.9371,5.2846,6.4571,28.1006,30.867,1317.1476,4.9942,15.2886,10.5927,22.6248,62.9833,44.7274,85.8431,86.7912,92.3206,16.0104,11.1927,50.486,26.5557
100.0,0.884,12.7056,68.4036,5.2567,6.4516,28.0419,30.5605,1315.9007,4.9939,15.5992,10.8148,22.7875,62.4823,44.9677,85.9361,87.526,92.9799,16.2316,11.196,50.9765,25.7699
82.9554,0.7987,12.2826,70.2487,5.5574,6.6954,28.0115,30.4189,1318.5182,4.9932,14.9933,10.9675,17.776,62.4641,44.2224,86.1089,87.2532,92.4793,15.6004,10.8358,49.9314,24.2654
91.704,1.0113,12.1863,65.2909,5.6034,7.507,27.5263,30.2701,1324.8835,4.9943,15.1884,11.5024,18.2557,61.8954,43.5122,85.3306,87.2719,91.9784,15.3715,10.593,49.3702,24.5762
97.4331,0.9024,12.5085,65.9003,5.2894,7.068,27.1867,29.4686,1313.3733,4.993,15.4027,10.7795,21.858,61.3212,43.8566,84.921,87.0243,91.7592,15.7866,11.0208,49.4388,24.0369
