slide valve %,vibration motor mm/s,discharge pressure bara,discharge temperature degC,suction pressure bara,suction temperature degC,cooling water temperature degC,cooling water return temperature degC,cooling water flow m3/h,cooling water header pressure barg,chilled water return temperature degC,chilled water supply temperature degC,motor current,motor bearing DE temperature degC,motor bearing NDE temperature degC,Motor Stator Temperature degC,Motor Stator Temperature degC_2,Motor Stator Temperature degC_3,Oil Pressure bara,Oil Pressure bara_2,Oil Temperature degC,OutsideTemperature
64,0.6999999,12.6,70.1,5.52,7.800001,29.1647587,31.66104,1318.58093,4.98931837,14.0999975,10.9000025,15.000001,59.8999977,47,72.6,71.7,72.1,15.9,11.1,51,35.40000153
67,0.900000036,12.5,65.7,5.59,8.099997,28.9501781,31.3415565,1314.77161,4.98931837,14.3000011,11.4000025,15.000001,60.6000023,47.1,72.7999954,71.9,72.2999954,15.8000011,11.1,49.9,35.89374924
69,0.8,12.4,68.1,5.49,8.099997,28.9501781,31.2104225,1314.50635,4.98931837,14.4999981,11.1999989,15.000001,60.0000038,47.1,73.1,72.1,72.6,15.8000011,10.9,50,35.33749771
73,0.6999999,12.6,67.49999,5.4800005,7.999998,28.7046051,31.229496,1318.01123,4.98931837,14.4999981,11.1,15.000001,59.1000023,46.5,73.1,72.2999954,72.6,15.8000011,11,49.8000031,34.99062347
89,0.900000036,12.7000008,66.99999,5.56,7.4,28.7046051,31.3510933,1318.47925,4.98931837,14.7000074,11.0000019,17,58.8,46.3,73.4,72.3999939,72.8999939,16.1,11.2000008,50.1000061,33.73125076
82,1,12.9,71.7,5.34,6.699997,28.7046051,31.2652588,1320.39014,4.98931837,14.8,10.7999983,17,59.3,46.3999977,73.9,72.7999954,73.2,16,11.2000008,51.4000053,33.77499771
98,0.900000036,12.9,69.9,5.30999947,6.90000057,28.7046051,31.2843323,1316.62671,4.978351,15.100008,10.6999989,21,59.3999977,46.6,74.5,73.2999954,73.9,16.3000011,11.4,50.6000061,33.12812424
76,0.8,12.4,68.2999954,5.55,7.59999752,28.7046051,31.5179863,1320.93872,4.978351,14.4999981,11.1,16,59.6000023,46.6,75.3,73.9,74.7,15.8000011,10.9,51.5,32.296875
85,0.8,12.5,71.5,5.54,7.499999,28.4614143,31.4965286,1322.56189,4.978351,14.9999981,11.2999973,17,59.6000023,46.6,75.8,74.5,75,15.9,11.1,51.6000023,31.47499847
93,1,12.6,70.2999954,5.46,6.999999,28.4614143,31.3177147,1318.07239,4.978351,15.2000065,11.1,18,59.3999977,47,76,74.7,75.2,16.1,11.1,50.6999969,30.99687386
